日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-02,31.45,32.56,32.99,31.45,683434,2218502768.0,4.96,4.83,1.5,0.7
2018-01-03,32.5,32.33,33.78,32.23,646870,2130249696.0,4.76,-0.71,-0.23,0.67
2018-01-04,32.76,33.12,33.53,32.1,529086,1740602528.0,4.42,2.44,0.79,0.54
2018-01-05,32.98,34.76,35.88,32.8,843102,2916787872.0,9.3,4.95,1.64,0.87
2018-01-08,35.11,35.99,36.96,35.11,830784,2994515872.0,5.32,3.54,1.23,0.86
2018-01-09,35.63,35.84,36.11,34.95,478459,1700947888.0,3.22,-0.42,-0.15,0.49
2018-01-10,35.6,35.67,36.7,35.5,453696,1633034912.0,3.35,-0.47,-0.17,0.47
2018-01-11,35.55,35.15,35.78,34.54,402484,1411859648.0,3.48,-1.46,-0.52,0.41
2018-01-12,35.1,35.55,36.62,35.09,537013,1927916480.0,4.35,1.14,0.4,0.55
2018-01-15,35.84,37.09,38.0,35.61,757186,2784027856.0,6.72,4.33,1.54,0.78
2018-01-16,36.5,40.2,40.7,36.4,978465,3763499504.0,11.59,8.39,3.11,1.01
2018-01-17,39.48,39.77,40.6,38.3,812192,3199234880.0,5.72,-1.07,-0.43,0.84
2018-01-18,39.6,39.76,40.64,38.9,558848,2226747472.0,4.38,-0.03,-0.01,0.58
2018-01-19,39.85,39.42,41.09,39.25,548758,2207882768.0,4.63,-0.86,-0.34,0.56
2018-01-22,39.0,39.53,39.84,38.51,406526,1597213088.0,3.37,0.28,0.11,0.42
2018-01-23,40.0,40.98,41.51,39.99,648658,2653177552.0,3.85,3.67,1.45,0.67
2018-01-24,40.7,41.13,42.24,40.46,542630,2236496976.0,4.34,0.37,0.15,0.56
2018-01-25,41.12,40.2,41.12,38.8,648065,2577574864.0,5.64,-2.26,-0.93,0.67
2018-01-26,40.0,40.04,40.66,39.12,410062,1640757696.0,3.83,-0.4,-0.16,0.42
2018-01-29,40.38,38.57,40.56,38.09,597863,2338982480.0,6.17,-3.67,-1.47,0.62
2018-01-30,38.0,36.36,38.0,36.27,908234,3355539696.0,4.49,-5.73,-2.21,0.93
2018-01-31,36.61,37.56,37.76,35.62,898148,3297773296.0,5.89,3.3,1.2,0.92
2018-02-01,37.5,37.5,38.04,36.9,635425,2380069200.0,3.04,-0.16,-0.06,0.65
2018-02-02,36.5,37.38,37.9,35.8,596794,2208198832.0,5.6,-0.32,-0.12,0.61
2018-02-05,36.8,36.99,38.06,36.31,552635,2046513936.0,4.68,-1.04,-0.39,0.57
2018-02-06,35.93,35.82,36.1,34.88,699837,2489127584.0,3.3,-3.16,-1.17,0.72
2018-02-07,36.43,32.98,36.58,32.5,952130,3283016480.0,11.39,-7.93,-2.84,0.98
2018-02-08,33.0,32.75,33.88,32.49,580805,1920999552.0,4.21,-0.7,-0.23,0.6
2018-02-09,31.5,31.27,31.96,30.2,724945,2259035360.0,5.37,-4.52,-1.48,0.75
2018-02-12,31.43,31.9,32.32,31.31,407654,1297185200.0,3.23,2.01,0.63,0.42
2018-02-13,32.28,32.73,33.79,32.28,454668,1500999456.0,4.73,2.6,0.83,0.47
2018-02-14,32.87,33.17,33.32,32.17,270176,884454432.0,3.51,1.34,0.44,0.28
2018-02-22,34.0,33.7,34.05,33.33,302373,1019234560.0,2.17,1.6,0.53,0.31
2018-02-23,33.9,34.72,35.1,33.33,384539,1323487168.0,5.25,3.03,1.02,0.4
2018-02-26,35.07,34.18,35.1,33.11,540655,1832518320.0,5.73,-1.56,-0.54,0.56
2018-02-27,34.2,32.9,34.28,32.65,506598,1683177664.0,4.77,-3.74,-1.28,0.52
2018-02-28,32.51,32.7,33.23,31.84,500004,1621987600.0,4.22,-0.61,-0.2,0.51
2018-03-01,32.17,32.41,33.09,32.02,336064,1092337520.0,3.27,-0.89,-0.29,0.35
2018-03-02,32.0,32.28,32.73,31.51,322838,1038873920.0,3.76,-0.4,-0.13,0.33
2018-03-05,32.49,32.18,33.15,32.07,373354,1213151360.0,3.35,-0.31,-0.1,0.38
2018-03-06,32.35,33.67,33.71,32.01,581008,1912870912.0,5.28,4.63,1.49,0.6
2018-03-07,33.44,32.9,33.92,32.8,387993,1292495376.0,3.33,-2.29,-0.77,0.4
2018-03-08,33.4,33.64,33.74,32.85,351023,1175142112.0,2.71,2.25,0.74,0.36
2018-03-09,33.87,33.46,33.91,33.34,325102,1092069968.0,1.69,-0.54,-0.18,0.33
2018-03-12,33.54,32.62,33.68,32.35,606208,1979204528.0,3.97,-2.51,-0.84,0.62
2018-03-13,32.59,32.48,32.84,32.37,220920,719093280.0,1.44,-0.43,-0.14,0.23
2018-03-14,32.44,32.7,32.95,32.2,315833,1031091872.0,2.31,0.68,0.22,0.33
2018-03-15,32.5,32.66,33.1,32.41,252215,825259600.0,2.11,-0.12,-0.04,0.26
2018-03-16,32.58,32.63,33.35,32.5,337572,1111490320.0,2.6,-0.09,-0.03,0.35
2018-03-19,32.57,31.58,32.58,31.52,366967,1166386368.0,3.25,-3.22,-1.05,0.38
2018-03-20,31.4,31.34,31.59,30.75,290118,903296816.0,2.66,-0.76,-0.24,0.3
2018-03-21,31.47,31.66,32.15,31.31,331726,1055783632.0,2.68,1.02,0.32,0.34
2018-03-22,31.8,31.18,31.88,31.04,235787,739606992.0,2.65,-1.52,-0.48,0.24
2018-03-23,30.02,31.07,31.07,29.21,505125,1527314432.0,5.97,-0.35,-0.11,0.52
2018-03-26,30.76,30.33,30.79,29.9,338289,1021310976.0,2.86,-2.38,-0.74,0.35
2018-03-27,30.89,31.02,31.87,30.71,578854,1803144944.0,3.82,2.27,0.69,0.6
2018-03-28,30.51,31.33,32.15,30.3,426729,1341512912.0,5.96,1.0,0.31,0.44
2018-03-29,31.54,34.16,34.46,31.03,999701,3311802736.0,10.95,9.03,2.83,1.03
2018-03-30,33.7,33.29,33.99,33.17,572692,1918089360.0,2.4,-2.55,-0.87,0.59
2018-04-02,33.65,33.49,34.47,33.32,531636,1801173136.0,3.45,0.6,0.2,0.55
2018-04-03,33.2,33.64,34.1,32.52,431946,1440337632.0,4.72,0.45,0.15,0.44
2018-04-04,32.3,32.8,33.95,32.1,584510,1927433712.0,5.5,-2.5,-0.84,0.6
2018-04-09,32.7,31.62,32.76,30.96,478119,1510647264.0,5.49,-3.6,-1.18,0.49
2018-04-10,31.52,32.18,32.18,31.06,477145,1517032384.0,3.54,1.77,0.56,0.49
2018-04-11,32.15,32.61,33.24,31.73,485930,1578103536.0,4.69,1.34,0.43,0.5
2018-04-12,32.57,31.85,32.86,31.75,335220,1079000352.0,3.4,-2.33,-0.76,0.35
2018-04-13,32.16,31.25,32.24,31.03,351573,1102968784.0,3.8,-1.88,-0.6,0.36
2018-04-16,31.2,30.03,31.23,29.56,528069,1588112256.0,5.34,-3.9,-1.22,0.54
2018-04-17,30.16,29.92,30.55,29.6,258198,775976176.0,3.16,-0.37,-0.11,0.27
2018-04-18,30.29,30.04,30.69,29.74,328835,989193216.0,3.18,0.4,0.12,0.34
2018-04-19,30.33,30.23,30.53,30.03,256275,776421776.0,1.66,0.63,0.19,0.26
2018-04-20,30.18,30.15,30.5,29.92,254795,769678464.0,1.92,-0.26,-0.08,0.26
2018-04-23,29.88,29.91,30.29,29.79,201714,605310896.0,1.66,-0.8,-0.24,0.21
2018-04-24,29.85,30.93,31.1,29.8,469832,1447945424.0,4.35,3.41,1.02,0.48
2018-04-25,30.65,30.12,30.65,29.96,397684,1199524608.0,2.23,-2.62,-0.81,0.41
2018-04-26,30.3,28.5,30.3,28.26,812263,2348260640.0,6.77,-5.38,-1.62,0.84
2018-04-27,28.66,28.4,28.75,27.42,381958,1071392416.0,4.67,-0.35,-0.1,0.39
2018-05-02,28.4,27.68,28.66,27.63,397171,1111292768.0,3.63,-2.54,-0.72,0.41
2018-05-03,27.65,27.33,27.66,26.56,542420,1466857440.0,3.97,-1.26,-0.35,0.56
2018-05-04,27.26,26.91,27.56,26.81,425384,1154814768.0,2.74,-1.54,-0.42,0.44
2018-05-07,27.01,27.38,27.51,26.72,408454,1110387760.0,2.94,1.75,0.47,0.42
2018-05-08,27.4,28.69,28.86,27.33,655818,1857899328.0,5.59,4.78,1.31,0.68
2018-05-09,28.5,28.2,28.5,28.0,409031,1152922304.0,1.74,-1.71,-0.49,0.42
2018-05-10,28.32,28.07,28.53,27.7,429640,1204133440.0,2.94,-0.46,-0.13,0.44
2018-05-11,28.1,27.94,28.19,27.73,318304,889939600.0,1.64,-0.46,-0.13,0.33
2018-05-14,28.08,27.94,28.29,27.87,350839,984200064.0,1.5,0.0,0.0,0.36
2018-05-15,28.11,27.75,28.15,27.34,405069,1120666816.0,2.9,-0.68,-0.19,0.42
2018-05-16,27.55,27.23,27.75,27.21,373238,1020836432.0,1.95,-1.87,-0.52,0.38
2018-05-17,27.19,26.79,27.22,26.77,445624,1199275696.0,1.65,-1.62,-0.44,0.46
2018-05-18,26.7,27.15,27.15,26.53,407222,1092945216.0,2.31,1.34,0.36,0.42
2018-05-21,27.23,27.07,27.31,26.81,432447,1167666224.0,1.84,-0.29,-0.08,0.45
